Optimizer Learning_Rate Min_Val_Loss Min_Loss Difference
"<class 'keras.optimizers.Adam'>" 0.005 0.38424503803253174 0.27665412893447866 0.10759090909805308
"<class 'keras.optimizers.Adam'>" 0.01 0.3837752305023761 0.27530148205309696 0.10847374844927915
"<class 'keras.optimizers.Adam'>" 0.25 0.4348100816413277 0.3541797117761972 0.08063036986513045
"<class 'keras.optimizers.Adam'>" 0.05 0.40090003037990735 0.28273243703383955 0.1181675933460678
"<class 'keras.optimizers.Adam'>" 0.75 0.486632447842146 0.3843312549460014 0.10230119289614459
"<class 'keras.optimizers.Adam'>" 0.1 0.40078849827789287 0.3087266245436378 0.09206187373425506
"<class 'keras.optimizers.Adam'>" 0.15 0.41761205749972413 0.31891952947068786 0.09869252802903627
"<class 'keras.optimizers.RMSprop'>" 0.005 0.4008163922428244 0.27737781943692663 0.12343857280589776
"<class 'keras.optimizers.RMSprop'>" 0.01 0.3936277478723163 0.2687843335484541 0.1248434143238622
"<class 'keras.optimizers.RMSprop'>" 0.25 0.45286251951340056 0.39218543207219503 0.060677087441205535
"<class 'keras.optimizers.RMSprop'>" 0.05 0.38729883812378424 0.28109567677057345 0.10620316135321078
"<class 'keras.optimizers.RMSprop'>" 0.75 0.523108559367687 0.6071939544615486 0.08408539509386159
"<class 'keras.optimizers.RMSprop'>" 0.1 0.4196720110680724 0.3222259031202824 0.09744610794779002
"<class 'keras.optimizers.RMSprop'>" 0.15 0.4308756974923762 0.3466969490940542 0.08417874839832201
"<class 'keras.optimizers.SGD'>" 0.005 0.5048256576986003 0.3582369828275666 0.14658867487103372
"<class 'keras.optimizers.SGD'>" 0.01 0.4835869519431433 0.3369694334832556 0.14661751845988769
"<class 'keras.optimizers.SGD'>" 0.25 0.410281745015482 0.29820841415095994 0.11207333086452204
"<class 'keras.optimizers.SGD'>" 0.05 0.44666002436484536 0.3058136939405693 0.14084633042427608
"<class 'keras.optimizers.SGD'>" 0.75 0.487229800779157 0.32499755160172966 0.16223224917742735
"<class 'keras.optimizers.SGD'>" 0.1 0.4355409521141913 0.30174811650908573 0.13379283560510558
"<class 'keras.optimizers.SGD'>" 0.15 0.43338100689927006 0.298065800431854 0.13531520646741607
"<class 'keras.optimizers.Adadelta'>" 0.005 0.6211721605407166 0.5695679178647917 0.051604242675924894
"<class 'keras.optimizers.Adadelta'>" 0.01 0.6208581657100295 0.5243549026317769 0.09650326307825263
"<class 'keras.optimizers.Adadelta'>" 0.25 0.45749005481958055 0.3109757912611793 0.14651426355840125
"<class 'keras.optimizers.Adadelta'>" 0.05 0.556731589085965 0.3768873168444418 0.17984427224152316
"<class 'keras.optimizers.Adadelta'>" 0.75 0.41871052593707364 0.29156723070902874 0.1271432952280449
"<class 'keras.optimizers.Adadelta'>" 0.1 0.5185758367243876 0.33602605452508755 0.18254978219930001
"<class 'keras.optimizers.Adadelta'>" 0.15 0.4638247180977056 0.32413350357511345 0.13969121452259214
"<class 'keras.optimizers.Adagrad'>" 0.005 0.4966430508535571 0.33338373532049975 0.16325931553305734
"<class 'keras.optimizers.Adagrad'>" 0.01 0.44522883046329104 0.30410501546938373 0.1411238149939073
"<class 'keras.optimizers.Adagrad'>" 0.25 0.38877567073017655 0.27216877895661507 0.11660689177356148
"<class 'keras.optimizers.Adagrad'>" 0.05 0.408030720876874 0.28553813343708967 0.1224925874397843
"<class 'keras.optimizers.Adagrad'>" 0.75 0.38701524166193263 0.27021301188771285 0.11680222977421978
"<class 'keras.optimizers.Adagrad'>" 0.1 0.40725203715947855 0.2789046209046641 0.12834741625481444
"<class 'keras.optimizers.Adagrad'>" 0.15 0.3915480313289317 0.2771029172514203 0.1144451140775114
"<class 'keras.optimizers.Adamax'>" 0.005 0.4085203892169113 0.27901615195698865 0.12950423725992266
"<class 'keras.optimizers.Adamax'>" 0.01 0.4048278557270639 0.2831625088107413 0.12166534691632264
"<class 'keras.optimizers.Adamax'>" 0.25 0.39317872174536056 0.29115030280646037 0.10202841893890019
"<class 'keras.optimizers.Adamax'>" 0.05 0.3817708984710938 0.27457802792741215 0.10719287054368165
"<class 'keras.optimizers.Adamax'>" 0.75 0.42377988319470955 0.31826889376851875 0.1055109894261908
"<class 'keras.optimizers.Adamax'>" 0.1 0.37975801685128796 0.27527236479799283 0.10448565205329513
"<class 'keras.optimizers.Adamax'>" 0.15 0.37990021682508573 0.28190891929687495 0.09799129752821079
"<class 'keras.optimizers.Nadam'>" 0.005 0.39925254143679934 0.2764649099235587 0.12278763151324062
"<class 'keras.optimizers.Nadam'>" 0.01 0.378979199738025 0.2709350572247387 0.10804414251328631
"<class 'keras.optimizers.Nadam'>" 0.25 0.42634074803972444 0.3451003060944182 0.08124044194530622
"<class 'keras.optimizers.Nadam'>" 0.05 0.3930984774370624 0.278448562716614 0.11464991472044839
"<class 'keras.optimizers.Nadam'>" 0.75 0.5352637478595729 0.3898298348697626 0.1454339129898103
"<class 'keras.optimizers.Nadam'>" 0.1 0.4021828309941527 0.30288174763631953 0.09930108335783316
"<class 'keras.optimizers.Nadam'>" 0.15 0.3967858536119017 0.317975209573226 0.07881064403867571
